==================================================
UNRESTRAINED SYSTEM
==================================================
Sequence = PPPPPPPP
Number of conformations = 272
Partition function = 272.0
Average end-to-end distance = 3.753667905632506
Average radius of gyration = 1.5218177655394014
Average end-to-end distance = 3.753667905632505
Average energy = 0.0
Entropy S1 = 5.605802066296009
Entropy S2 = 5.605802066295998

Macrostates (Energy : Degeneracy)
0 : 272
Lowest energy = 0
Number of lowest-energy microstates = 272
State 143 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5)]
State 144 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0)]
State 145 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (3, 0), (4, 0), (4, 1)]
State 146 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (3, 0), (4, 0), (4, -1)]
State 147 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (3, 0), (3, 1), (4, 1)]
State 148 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (3, 0), (3, 1), (3, 2)]
State 149 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (3, 0), (3, -1), (4, -1)]
State 150 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (3, 0), (3, -1), (2, -1)]
State 151 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (3, 0), (3, -1), (3, -2)]
State 152 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (2, -1), (3, -1), (4, -1)]
State 153 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (2, -1), (3, -1), (3, 0)]
State 154 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (2, -1), (3, -1), (3, -2)]
State 155 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (2, -1), (1, -1), (0, -1)]
State 156 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (2, -1), (1, -1), (1, -2)]
State 157 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (2, -1), (2, -2), (3, -2)]
State 158 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (2, -1), (2, -2), (1, -2)]
State 159 = [(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (2, -1), (2, -2), (2, -3)]
State 160 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-2, 1), (-3, 1), (-4, 1)]
State 161 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-2, 1), (-3, 1), (-3, 2)]
State 162 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-2, 1), (-3, 1), (-3, 0)]
State 163 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-2, 1), (-2, 2), (-1, 2)]
State 164 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-2, 1), (-2, 2), (-3, 2)]
State 165 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-2, 1), (-2, 2), (-2, 3)]
State 166 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-2, 1), (-2, 0), (-1, 0)]
State 167 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-2, 1), (-2, 0), (-3, 0)]
State 168 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-2, 1), (-2, 0), (-2, -1)]
State 169 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 2), (0, 2), (1, 2)]
State 170 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 2), (0, 2), (0, 3)]
State 171 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 2), (-2, 2), (-3, 2)]
State 172 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 2), (-2, 2), (-2, 3)]
State 173 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 2), (-2, 2), (-2, 1)]
State 174 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 2), (-1, 3), (0, 3)]
State 175 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 2), (-1, 3), (-2, 3)]
